time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-12T19:44:57.550Z,33.34,-116.3716667,8.91,1.14,ml,31,80,0.08111,0.22,ci,ci38148056,2018-04-12T19:48:32.469Z,"9km N of Borrego Springs, CA",earthquake,0.43,0.88,0.157,27,automatic,ci,ci
2018-04-12T19:13:45.562Z,64.1519,-145.7951,14,1.3,ml,,,,0.16,ak,ak19232699,2018-04-12T19:32:12.146Z,"13km NNW of Delta Junction, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-12T18:49:46.410Z,34.0188333,-117.2298333,10.56,1.36,ml,23,86,0.09245,0.28,ci,ci38148040,2018-04-12T18:53:29.442Z,"4km SE of Loma Linda, CA",earthquake,0.53,1.18,0.365,32,automatic,ci,ci
2018-04-12T17:56:19.092Z,62.2314,-148.7564,30.5,1.4,ml,,,,0.69,ak,ak19232693,2018-04-12T18:01:25.110Z,"48km N of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-12T17:43:14.590Z,33.5081667,-116.7921667,5.59,0.58,ml,19,73,0.0732,0.08,ci,ci38148016,2018-04-12T19:52:08.006Z,"10km NE of Aguanga, CA",earthquake,0.21,0.62,0.078,9,reviewed,ci,ci
2018-04-12T17:34:52.961Z,60.704,-152.0921,80.7,1.2,ml,,,,0.21,ak,ak19232687,2018-04-12T17:38:30.255Z,"43km W of Nikiski, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-04-12T17:10:32.250Z,33.9403333,-116.8506667,4.86,0.43,ml,17,117,0.1011,0.09,ci,ci38148008,2018-04-12T19:46:58.264Z,"3km NE of Banning, CA",earthquake,0.24,1.33,0.094,8,reviewed,ci,ci
2018-04-12T17:05:59.220Z,38.8121681,-122.8241653,2.13,0.56,md,8,105,0.005118,0.04,nc,nc72998766,2018-04-12T17:58:03.104Z,"7km WNW of The Geysers, CA",earthquake,0.67,1.27,,1,automatic,nc,nc
2018-04-12T17:01:12.950Z,37.6306667,-118.9261667,0.11,0.42,md,14,89,0.01904,0.04,nc,nc72998761,2018-04-12T18:41:03.380Z,"5km E of Mammoth Lakes, CA",earthquake,0.19,0.33,0.269,13,reviewed,nc,nc
2018-04-12T16:48:11.430Z,38.8230019,-122.7685013,2.28,0.48,md,10,108,0.007539,0.02,nc,nc72998756,2018-04-12T17:03:03.812Z,"4km W of Cobb, CA",earthquake,0.44,0.79,0.09,4,automatic,nc,nc
2018-04-12T16:46:22.640Z,38.8214989,-122.7645035,1.66,1.57,md,23,56,0.009905,0.06,nc,nc72998751,2018-04-12T18:43:01.355Z,"4km W of Cobb, CA",earthquake,0.24,0.39,0.05,7,automatic,nc,nc
2018-04-12T16:41:25.160Z,45.1878333,-112.4368333,-2,0.94,md,7,140,0.284,0.06,mb,mb80289429,2018-04-12T17:22:09.920Z,"16km ESE of Dillon, Montana",quarry blast,0.39,31.61,0.217,6,reviewed,mb,mb
2018-04-12T16:29:04.550Z,-56.3642,-27.1445,117.93,5.3,mb,,93,5.727,0.93,us,us2000dyz7,2018-04-12T16:48:02.040Z,"37km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,13,8.7,0.077,57,reviewed,us,us
2018-04-12T16:17:45.360Z,44.0825,-114.5991667,6.56,1.47,ml,4,107,0.537,0.16,mb,mb80289439,2018-04-12T17:34:27.290Z,"47km NNW of Sun Valley, Idaho",earthquake,2.49,9.3,0.451,3,reviewed,mb,mb
2018-04-12T15:51:26.560Z,34.211,-117.6266667,10.88,0.89,ml,6,95,0.03831,0.07,ci,ci38147992,2018-04-12T19:41:09.473Z,"11km NNW of Rancho Cucamonga, CA",earthquake,0.47,0.88,0.173,3,reviewed,ci,ci
2018-04-12T15:50:26.638Z,62.9389,-150.4907,87.1,1.9,ml,,,,0.41,ak,ak19232639,2018-04-12T16:01:27.451Z,"71km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
