magnitude,location
-0.04, Montana
-0.05, Wyoming
0.13, Wyoming
0.15, Wyoming
0.23, CA
0.25, Montana
0.33, CA
0.34, CA
0.38, CA
0.39, Wyoming
0.4, Alaska
0.41, CA
0.42, CA
0.43, CA
0.46, CA
0.47, Wyoming
0.48, CA
0.49, CA
0.5, California
0.51, Washington
0.52, CA
0.56, CA
0.57, CA
0.58, CA
0.59, CA
0.6, Alaska
0.63, CA
0.68, CA
0.74, CA
0.77, Montana
0.78, CA
0.79, CA
0.8, Alaska
0.85, CA
0.88, CA
0.89, CA
0.9, CA
0.93, CA
0.94, Montana
0.96, CA
1, CA
1.02, CA
1.03, Wyoming
1.07, CA
1.08, CA
1.1, Wyoming
1.11, CA
1.12, CA
1.13, Montana
1.14, CA
1.16, CA
1.17, CA
1.19, CA
1.2, Alaska
1.25, Wyoming
1.26, CA
1.3, Alaska
1.35, CA
1.36, CA
1.37, Montana
1.38, Wyoming
1.4, Alaska
1.41, Washington
1.47, Idaho
1.5, Alaska
1.51, CA
1.53, CA
1.54, CA
1.57, Wyoming
1.59, Wyoming
1.6, Alaska
1.64, Wyoming
1.66, Wyoming
1.67, CA
1.68, Wyoming
1.69, Montana
1.7, Alaska
1.71, Hawaii
1.72, Hawaii
1.73, Hawaii
1.75, Wyoming
1.76, Wyoming
1.77, Wyoming
1.78, CA
1.79, Wyoming
1.8, Alaska
1.82, Hawaii
1.83, Hawaii
1.84, Hawaii
1.85, Hawaii
1.86, Hawaii
1.87, Hawaii
1.88, Hawaii
1.89, Hawaii
1.9, Alaska
1.91, Hawaii
1.92, Wyoming
1.93, Hawaii
1.94, Hawaii
1.95, Hawaii
1.96, Hawaii
1.99, Hawaii
2, Alaska
2.01, Hawaii
2.02, Hawaii
2.03, Hawaii
2.04, Hawaii
2.05, Hawaii
2.06, Hawaii
2.07, Hawaii
2.08, Hawaii
2.09, Hawaii
2.1, Wyoming
2.11, CA
2.12, Hawaii
2.13, CA
2.14, Hawaii
2.16, Puerto Rico
2.23, Canada
2.24, CA
2.26, Hawaii
2.27, Idaho
2.3, Hawaii
2.34, Hawaii
2.37, Hawaii
2.4, Hawaii
2.47, Puerto Rico
2.5, Alaska
2.51, CA
2.53, CA
2.62, Hawaii
2.7, Oklahoma
2.71, Puerto Rico
2.74, Hawaii
2.77, Dominican Republic
2.8, Alaska
2.92, Puerto Rico
2.96, Washington
3.1, Puerto Rico
3.11, Puerto Rico
3.16, U.S. Virgin Islands
4, Haiti
4.1, Chile
4.2, Mexico
4.4, Indonesia
4.5, Indonesia
4.6, Indonesia
4.7, Fiji
4.8, Japan
4.9, Philippines
5.1, Japan
5.3, South Georgia and the South Sandwich Islands
